"k","signal_mode","method","beta","power_smooth"
2,"abundance","AHC_euclidean",0.05,0.0506933313722175
2,"abundance","AHC_euclidean",0.0547738693467337,0.0501143339651063
2,"abundance","AHC_euclidean",0.0595477386934673,0.0496277756390515
2,"abundance","AHC_euclidean",0.064321608040201,0.0492337868304592
2,"abundance","AHC_euclidean",0.0690954773869347,0.0489324979348333
2,"abundance","AHC_euclidean",0.0738693467336684,0.0487240392299282
2,"abundance","AHC_euclidean",0.078643216080402,0.0486085407952037
2,"abundance","AHC_euclidean",0.0834170854271357,0.0485861324273165
2,"abundance","AHC_euclidean",0.0881909547738693,0.0486569435513569
2,"abundance","AHC_euclidean",0.092964824120603,0.0488211031274888
2,"abundance","AHC_euclidean",0.0977386934673367,0.0490787395526274
2,"abundance","AHC_euclidean",0.10251256281407,0.0494299804657231
2,"abundance","AHC_euclidean",0.107286432160804,0.0498749508926005
2,"abundance","AHC_euclidean",0.112060301507538,0.0504137733321341
2,"abundance","AHC_euclidean",0.116834170854271,0.051046569337708
2,"abundance","AHC_euclidean",0.121608040201005,0.0517734594642392
2,"abundance","AHC_euclidean",0.126381909547739,0.0525945631430482
2,"abundance","AHC_euclidean",0.131155778894472,0.053509998550959
2,"abundance","AHC_euclidean",0.135929648241206,0.054519882473023
2,"abundance","AHC_euclidean",0.14070351758794,0.0556243301581386
2,"abundance","AHC_euclidean",0.145477386934673,0.0568234551667123
2,"abundance","AHC_euclidean",0.150251256281407,0.0581173692088415
2,"abundance","AHC_euclidean",0.155025125628141,0.0595061779088363
2,"abundance","AHC_euclidean",0.159798994974874,0.0609899704478738
2,"abundance","AHC_euclidean",0.164572864321608,0.0625688297550173
2,"abundance","AHC_euclidean",0.169346733668342,0.0642428352221424
2,"abundance","AHC_euclidean",0.174120603015075,0.0660120625143573
2,"abundance","AHC_euclidean",0.178894472361809,0.0678765833701862
2,"abundance","AHC_euclidean",0.183668341708543,0.0698364653909804
2,"abundance","AHC_euclidean",0.188442211055276,0.0718917718190028
2,"abundance","AHC_euclidean",0.19321608040201,0.074042561303619
2,"abundance","AHC_euclidean",0.197989949748744,0.076288887655015
2,"abundance","AHC_euclidean",0.202763819095477,0.0786307997673928
2,"abundance","AHC_euclidean",0.207537688442211,0.0810683442456898
2,"abundance","AHC_euclidean",0.212311557788945,0.0836015649876415
2,"abundance","AHC_euclidean",0.217085427135678,0.0862305007360106
2,"abundance","AHC_euclidean",0.221859296482412,0.0889551847639822
2,"abundance","AHC_euclidean",0.226633165829146,0.0917756446252283
2,"abundance","AHC_euclidean",0.231407035175879,0.0946919019014236
2,"abundance","AHC_euclidean",0.236180904522613,0.0977039719484291
2,"abundance","AHC_euclidean",0.240954773869347,0.100811863642625
2,"abundance","AHC_euclidean",0.24572864321608,0.104015579129225
2,"abundance","AHC_euclidean",0.250502512562814,0.107315113560692
2,"abundance","AHC_euclidean",0.255276381909548,0.110710438082312
2,"abundance","AHC_euclidean",0.260050251256281,0.114201463736634
2,"abundance","AHC_euclidean",0.264824120603015,0.117788076299676
2,"abundance","AHC_euclidean",0.269597989949749,0.121470144284347
2,"abundance","AHC_euclidean",0.274371859296482,0.125247518593359
2,"abundance","AHC_euclidean",0.279145728643216,0.129120032245972
2,"abundance","AHC_euclidean",0.28391959798995,0.133087500212295
2,"abundance","AHC_euclidean",0.288693467336683,0.137149719402617
2,"abundance","AHC_euclidean",0.293467336683417,0.141306468879179
2,"abundance","AHC_euclidean",0.298241206030151,0.145557510386463
2,"abundance","AHC_euclidean",0.303015075376884,0.149902586349957
