"method","MethodLabel","Taxon","df_layer","df_residual","statistic","p_value","mean_SRF","mean_DCM","mean_MES","padj","significant","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"AHC","AHC","AACY020049127.555.2033",2,170,17.8291730069924,9.34801770919289e-08,0.00815091362038352,0.00803186245082656,-0.00697954775926736,3.0638899926687e-07,TRUE,881,94,0.543352601156069,0.000226132138103091,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiothrix"
"AHC","AHC","AACY020057074.347.1847",2,170,34.8555739465918,2.0637573424761e-13,0.0110793804305969,-0.00230026512908854,-0.00648630435195825,1.24842597215415e-12,TRUE,757,80,0.46242774566474,0.000194361827769032,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9",NA
"AHC","AHC","AACY020061762.7.1504",2,170,1.87712425618824,0.156187602821434,-0.00467757886631901,-0.00545001821895531,-0.00711405729677304,0.185452897036448,FALSE,75,20,0.115606936416185,2.08474872708758e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7"
"AHC","AHC","AACY020065672.95.1597",2,170,9.70223498838293,0.000102326768522126,0.0136227841159046,0.00347740566133758,-0.00629997869875278,0.000211641706601861,TRUE,1882,76,0.439306358381503,0.000488396225443943,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Formosa"
"AHC","AHC","AACY020075636.150.1670",2,170,10.7494132120556,4.01826328825369e-05,0.0338840180499891,0.0403602762124054,0.00308350200355855,8.86946520417188e-05,TRUE,8087,113,0.653179190751445,0.0019423654124717,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255",NA
"AHC","AHC","AACY020080403.492.1950",2,170,28.2082225353927,2.63621662630506e-11,0.0128448522616749,0.000144569780438629,-0.00520702517993529,1.28076191094654e-10,TRUE,889,100,0.578034682080925,0.00022546714477035,"Bacteria","Cyanobacteria","Chloroplast","marine",NA,NA
"AHC","AHC","AACY020095396.2822.4287",2,170,17.2957458906308,1.45450410280637e-07,0.0127525202769144,0.00442211064608804,-0.00602551724050654,4.64644324348555e-07,TRUE,1267,80,0.46242774566474,0.000316679547064602,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"AHC","AHC","AACY020105546.1130.2631",2,170,13.4545734836702,3.76320261317949e-06,0.000912584510428515,-0.00198247945801481,-0.00738817230062316,9.65433277660568e-06,TRUE,249,61,0.352601156069364,6.66286682270646e-05,"Bacteria","Actinobacteria","Actinobacteria","PeM15","marine",NA
"AHC","AHC","AACY020119224.701.2163",2,170,25.2852155512054,2.43578244466674e-10,0.022489058217478,0.00523195241848048,-0.00546780389467403,1.07478612317178e-09,TRUE,2096,86,0.497109826589595,0.000569891979092567,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116",NA
"AHC","AHC","AACY020125801.1205.2714",2,170,16.0239787988755,4.21239234388614e-07,0.0180098136492756,0.0123661269321112,-0.00566712808801789,1.25377140343874e-06,TRUE,1932,95,0.549132947976879,0.000543016167871221,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
